district,Florida,District 1,District 2,District 3,District 4,District 5,District 6,District 7,District 8,District 9,District 10,District 11,District 12,District 13,District 14,District 15,District 16,District 17,District 18,District 19,District 20,District 21,District 22,District 23,District 24,District 25,District 26,District 27
id,66250056,95245250,77649069,46045482,52424614,83647367,44705482,34489651,34492254,59437606,12636271,49209035,97103556,51099887,24912659,56346941,63826449,26527116,63898006,68756100,28310171,18704680,89589871,81710935,20452683,14112915,27290587,16862236
Total of citizens 18 years and older,"14,441,877","575,138","556,435","548,993","561,808","507,215","592,989","561,505","572,680","548,064","565,225","608,007","564,870","559,110","526,716","523,525","595,471","558,393","556,662","573,502","470,340","518,923","522,690","475,643","458,121","444,179","479,333","416,340"
"Citizen, Voting-Age Population",,,,,,,,,,,,,,,,,,,,,,,,,,,,
18 to 29 years,19.1%,22.5%,26.6%,24.4%,21.9%,25.3%,15.8%,24.2%,15.9%,23.2%,19.0%,12.9%,15.7%,14.7%,23.4%,22.0%,13.3%,15.1%,14.7%,13.5%,22.1%,15.7%,15.2%,17.6%,23.3%,19.1%,21.8%,20.4%
30 to 44 years,21.6%,22.8%,22.7%,21.9%,24.7%,24.6%,18.9%,22.6%,17.8%,29.3%,24.2%,15.8%,20.9%,19.3%,26.6%,23.3%,15.8%,17.8%,19.2%,16.6%,23.7%,20.2%,19.1%,23.6%,26.5%,22.3%,24.2%,21.8%
45 to 64 years,33.5%,33.8%,31.7%,31.5%,34.2%,33.3%,35.5%,33.7%,36.0%,30.4%,33.0%,30.8%,35.7%,36.5%,32.8%,34.5%,33.3%,32.1%,34.1%,31.8%,33.9%,33.5%,35.5%,36.1%,32.2%,32.4%,33.8%,32.2%
65 years and over,25.8%,21.0%,19.0%,22.3%,19.2%,16.8%,29.8%,19.5%,30.3%,17.1%,23.8%,40.5%,27.7%,29.4%,17.2%,20.2%,37.7%,35.0%,31.9%,38.0%,20.3%,30.6%,30.2%,22.7%,18.1%,26.3%,20.3%,25.6%
Sex,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Male,48.0%,50.5%,50.3%,49.2%,48.5%,46.1%,48.2%,48.1%,48.0%,49.0%,48.2%,48.0%,47.5%,47.6%,47.0%,47.9%,47.1%,48.7%,48.0%,47.8%,47.2%,46.6%,49.1%,47.8%,46.8%,46.8%,47.7%,46.7%
Female,52.0%,49.5%,49.7%,50.8%,51.5%,53.9%,51.8%,51.9%,52.0%,51.0%,51.8%,52.0%,52.5%,52.4%,53.0%,52.1%,52.9%,51.3%,52.0%,52.2%,52.8%,53.4%,50.9%,52.2%,53.2%,53.2%,52.3%,53.3%
Race*,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White alone,79.1%,80.3%,71.4%,82.2%,78.7%,45.5%,87.4%,83.0%,87.1%,76.2%,79.6%,89.3%,90.3%,90.1%,65.3%,80.0%,91.0%,85.9%,84.7%,90.1%,42.3%,82.6%,85.1%,78.3%,36.7%,88.2%,84.8%,85.9%
Black or African American alone,14.8%,13.0%,24.3%,13.0%,14.4%,47.7%,8.8%,9.6%,8.3%,11.4%,11.2%,7.3%,4.5%,4.7%,26.4%,12.5%,6.1%,8.7%,11.1%,5.9%,51.4%,10.8%,9.1%,11.4%,57.1%,5.8%,10.4%,9.4%
American Indian and Alaska Native alone,0.2%,0.3%,0.4%,0.3%,0.2%,0.4%,0.4%,0.2%,0.3%,0.2%,0.2%,0.2%,0.4%,0.3%,0.5%,0.2%,0.1%,0.3%,0.2%,0.1%,0.2%,0.2%,0.1%,0.2%,0.1%,0.2%,0.1%,0.1%
Asian alone,2.1%,1.9%,1.3%,2.2%,3.7%,1.9%,1.5%,3.0%,1.5%,3.5%,3.6%,1.2%,2.0%,2.7%,1.7%,3.1%,1.4%,1.1%,1.6%,1.1%,1.6%,2.6%,1.8%,3.1%,1.8%,1.9%,1.9%,1.7%
Native Hawaiian and Other Pacific Islander alone,0.1%,0.1%,0.1%,0.1%,0.0%,0.1%,0.1%,0.1%,0.2%,0.0%,0.1%,0.0%,0.1%,0.1%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.1%,0.1%,0.0%,0.0%,0.0%,0.0%
Some Other Race alone,1.9%,1.1%,0.4%,0.6%,0.8%,2.6%,0.7%,2.0%,0.9%,6.5%,3.1%,0.8%,0.9%,0.6%,3.3%,2.0%,0.4%,2.5%,1.5%,1.4%,2.1%,1.8%,2.1%,4.9%,3.2%,2.8%,1.4%,1.3%
Two or More Races,1.8%,3.3%,2.1%,1.7%,2.2%,1.9%,1.2%,2.3%,1.7%,2.3%,2.2%,1.1%,1.7%,1.4%,2.8%,2.2%,1.0%,1.6%,0.9%,1.4%,2.3%,1.8%,1.8%,2.0%,1.1%,1.2%,1.3%,1.5%
Hispanic Origin**,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hispanic or Latino,18.6%,4.7%,4.7%,6.6%,6.4%,11.2%,5.8%,18.7%,7.9%,44.3%,14.8%,7.8%,10.7%,6.5%,22.4%,13.1%,6.6%,11.3%,9.9%,11.3%,17.1%,17.3%,16.2%,34.0%,28.1%,64.9%,64.9%,69.9%
Not Hispanic or Latino,81.4%,95.3%,95.3%,93.4%,93.6%,88.8%,94.2%,81.3%,92.1%,55.7%,85.2%,92.2%,89.3%,93.5%,77.6%,86.9%,93.4%,88.7%,90.1%,88.7%,82.9%,82.7%,83.8%,66.0%,71.9%,35.1%,35.1%,30.1%
